soc,freqhz,calc_ima,calc_rezohm,calc_imzohm,zohm,phasezdeg,temperaturec,cycle,zelle,calc_soc
375,201.98988,10000,0.011966482,-0.0006542135,0.011984351,-3.1292737,22.728962,25,JT_VTC_008,15
375,201.98988,10000,0.012054718,-0.00072613,0.012076568,-3.4471128,22.975706,26,JT_VTC_008,15
375,201.98988,10000,0.012001759,-0.00068596326,0.012021346,-3.2711945,23.236635,30,JT_VTC_008,15
375,201.98988,10000,0.011973637,-0.0006693116,0.011992329,-3.1994343,23.157566,35,JT_VTC_008,15
375,201.98988,10000,0.011953977,-0.0006551247,0.011971915,-3.136895,23.291983,40,JT_VTC_008,15
375,201.98988,10000,0.01195413,-0.00065427274,0.01197202,-3.1327837,23.212915,45,JT_VTC_008,15
375,201.98988,10000,0.01193026,-0.00065397704,0.011948171,-3.1376233,23.56082,50,JT_VTC_008,15
500,201.98988,1250,0.012259021,-0.0010631018,0.0123050315,-4.9562874,22.81605,0,JT_VTC_008,20
500,201.98988,1250,0.0120925205,-0.0008236476,0.012120538,-3.8965204,22.792297,5,JT_VTC_008,20
500,201.98988,1250,0.012031714,-0.00073326315,0.012054037,-3.487532,22.689379,10,JT_VTC_008,20
500,201.98988,1250,0.011990273,-0.00070340163,0.012010888,-3.3573718,22.610209,15,JT_VTC_008,20
500,201.98988,1250,0.011906718,-0.00066948985,0.011925525,-3.218233,22.713129,20,JT_VTC_008,20
500,201.98988,1250,0.011888456,-0.000645219,0.011905951,-3.106551,22.602291,25,JT_VTC_008,20
500,201.98988,1250,0.012004227,-0.00071013626,0.012025214,-3.3855114,23.17338,26,JT_VTC_008,20
500,201.98988,1250,0.011944083,-0.0006756721,0.011963178,-3.237749,23.252449,30,JT_VTC_008,20
500,201.98988,1250,0.011934041,-0.0006499539,0.011951727,-3.1173735,23.236635,35,JT_VTC_008,20
500,201.98988,1250,0.01190934,-0.00065070845,0.011927103,-3.127446,23.284077,40,JT_VTC_008,20
500,201.98988,1250,0.011890325,-0.0006558551,0.011908399,-3.1571627,23.394773,45,JT_VTC_008,20
500,201.98988,1250,0.011889442,-0.0006489653,0.01190714,-3.124294,23.291983,50,JT_VTC_008,20
500,201.98988,2500,0.012279461,-0.00106017,0.0123251425,-4.9345007,22.792297,0,JT_VTC_008,20
500,201.98988,2500,0.012072859,-0.0008248673,0.012101006,-3.9086082,22.808132,5,JT_VTC_008,20
500,201.98988,2500,0.012003664,-0.0007338349,0.012026074,-3.4983802,22.48354,10,JT_VTC_008,20
500,201.98988,2500,0.011971486,-0.00069473987,0.0119916275,-3.3213143,22.618126,15,JT_VTC_008,20
500,201.98988,2500,0.01193559,-0.0006696827,0.0119543625,-3.2113872,22.895218,20,JT_VTC_008,20
500,201.98988,2500,0.011891417,-0.00064052537,0.011908656,-3.0832293,22.63396,25,JT_VTC_008,20
500,201.98988,2500,0.011980402,-0.0007095226,0.012001394,-3.3893037,23.165472,26,JT_VTC_008,20
500,201.98988,2500,0.011932686,-0.0006594826,0.011950896,-3.1633422,23.102217,30,JT_VTC_008,20
500,201.98988,2500,0.011914288,-0.00065374986,0.01193221,-3.1407318,23.32361,35,JT_VTC_008,20
500,201.98988,2500,0.011898423,-0.000645666,0.011915928,-3.1060998,23.268263,40,JT_VTC_008,20
500,201.98988,2500,0.011900587,-0.00065216376,0.011918443,-3.136727,23.284077,45,JT_VTC_008,20
500,201.98988,2500,0.011881906,-0.0006472015,0.011899519,-3.117792,23.363146,50,JT_VTC_008,20
500,201.98988,5000,0.012267662,-0.0010542019,0.012312874,-4.911555,22.776464,0,JT_VTC_008,20
500,201.98988,5000,0.012106437,-0.00081757625,0.012134013,-3.863453,22.744797,5,JT_VTC_008,20
500,201.98988,5000,0.012012107,-0.0007322349,0.012034405,-3.4883237,22.673544,10,JT_VTC_008,20
